iS#theme	mS#title	S#text	iD#score	cD#comp1	iD#comp2	iD#comp3	iD#comp4	iD#comp5
"O sucesso vem da escola ou do esforço individual?"	"Querer, poder, conseguir: faça!"	"Ao analisar a trajetória de pessoas que cresceram na vida, encontra-se alguns fatores em comuns na vida delas: foco, perseverança, dedicação e confiança. Dentre vários , esses são os principais segredos para obter êxito em qualquer âmbito social. Para isso, é necessário abrir mão de vários prazeres da vida. E, diga-se de passagem, nos dias atuais isso não é uma tarefa fácil. Em qualquer que seja a situação, apenas uma boa estrutura (espaço e professores) não traz sucesso. Ela é de fundamental importância, mas por si só não garante bons resultados. Assim como no esporte – quando o atleta treina insistentemente visando o máximo de si – e na música – quando o músico ensaia sem parar uma nova canção – nos estudos acontecem a mesma coisa. Determinação para vencer diversos obstáculos que surgem no caminho como por exemplo o cansaço, a dificuldade na locomoção até às escolas e além de inúmeros motivos que fazem com que o aluno fique desmotivado de tudo. Não é fácil! Outra preocupação constante é que uma nova era veio com tudo. Uma tal de era da informação. Redes sociais é o que não faltam Ficar desconectado nesse mundo equivale a viver na caverna de Platão. Mas quem diria, a busca do sucesso quase sempre obriga a cometer justamente o contrário, ou seja, voltar à caverna, isolar-se em virtude de um foco preestabelecido. Portanto, entende-se que o segredo do sucesso vem de cada pessoa. Basta que cada uma delas trace metas, estabeleça foco e reconheça seus limites, mas não se prenda a eles. Afinal, “querer” é para todos, “poder” é para alguns e para “conseguir” é preciso de uma simples atitude: “vá e faça”!"	9.00	1.50	2.00	1.50	2.00	2.00
"Direitos em conflito: liberdade de expressão e intimidade"	"Direitos em conflito: liberdade de expressão e intimidade"	"Existe um conflito entre o direito à liberdade de expressão e o direito à intimidade. Isso acontece principalmente quando os limites não são identificados, porém, é possível resolver essa questão encontrando um equilíbrio entre esses dois aspectos . De caráter iluminista, a liberdade de expressão foi defendida veemente pelo filósofo Voltaire. Esta consiste no direito do indivíduo de se manifestar livremente. No entanto, existem limites que devem ser considerados quando ocorre a exposição de uma informação, os quais derivam de outros direitos, como o que se refere a inviolabilidade da vida privada. Ou seja, todos têm o direito de se expressarem livremente, desde que o que expressem não viole a intimidade de um outro indivíduo. Dessa forma, há a possibilidade de se gerar um conflito quando esses limites não são bem estabelecidos. Uma situação que pode ser usada como exemplo foi a censura que os jornais Folha de S. Paulo e O Globo sofreram ao publicarem conversas clonadas do telefone da primeira-dama. O ato de clonar a conversa de alguém viola o direito à intimidade, no entanto, se a informação publicada se refere não somente ao indivíduo, mas também a sociedade, como aconteceu, a liberdade de expressão deve prevalecer pelo bem do coletivo. Diante disso, percebe-se que esses dois direitos, por mais que apresentem conflitos, tem como finalidade garantir um equilíbrio. É preciso que o Ministério da Educação inclua no ensino de todas as escolas assuntos relacionados a Constituição Federal, de modo que, os indivíduos sejam formados para compreender situações como essas de forma justa. O Poder Judiciário também deve julgar esses casos de conflito com cautela, nunca privilegiando um indivíduo ou grupo em detrimento de outro."	4.50	1.00	1.50	0.50	1.00	0.50
"Somos todos corruptos?"	"Egoísmo gera corrupção!"	"No que se refere a corrupção no Brasil, podemos afirmar que os brasileiros vêem a corrupção como um problema gigantesco na área política. Visto que a corrupção no Brasil não está ligada somente em a partidos políticos mais também em pequenas atitudes nossas como cidadões deste país. Convém lembrar ainda que, a corrupção está em sempre querermos ficar na vantagem nos produtos em que adquirimos, nos transportes em que usamos e na preferência em que não damos ao nosso próximo. Desse modo as nossas falhas com a Sociedade em que vivemos podem gerar essa tal corrupção o qual dizemos querer combate-lá combater. Um país sem corrupção depende da honestidade do seu povo."	3.50	1.00	1.00	0.50	0.50	0.50
"Somos todos corruptos?"	"Brasileiros, essencialmente corruptos!"	"Acredito que a corrupção, apesar de estar em discussão nos tempos atuais, existe desde quando o ser humano começou a trocar “troços”. A ambição do ser humano o torna corrupto. O corrupto existe em qualquer lugar do mundo, em qualquer classe social. A situação atual do Brasil é reflexo de uma atitude comum à maioria dos brasileiros: a vontade de levar vantagem em tudo. A evolução humana – da troca de troços às grandes transações econômicas e financeiras - proporcionou disputas principalmente por dominação de territórios, o que levou o homem a deter cada vez mais poder e dinheiro. O homem se torna corrupto ao longo do tempo, ele quer sempre mais, quer tirar vantagem, não importa a grandeza da coisa. Daí a diferença entre o corrupto da classe alta e o da classe baixa, o primeiro se deixa corromper por muito, o segundo, por pouco. A maioria dos brasileiros possui atitudes desonestas. A operação lava-jato é um grande exemplo da desonestidade de políticos brasileiros – valores altíssimos desfalcados dos cofres públicos. A máfia do tráfico de entorpecentes, do grande ao pequeno – dinheiro fácil, em troca de um mal para o país. Brasileiro sonega impostos, utiliza carteirinha falsa na compra de ingressos, compra CNH – Carteira Nacional de Habilitação, faz hora no trabalho para ganhar horas extras, contribui para a expansão da pirataria, não respeita vagas para pessoas com deficiência e idosos, oferecem o famoso “cafezinho” para uma autoridade... o rapaz do caixa dá um valor a mais em troco e o brasileiro finge que está tudo certo e comemora a “sorte do dia”. A malandragem existente em nossa cultura pode fazer com que a “lei do mais esperto” transforme tudo em uma bola de neve. O brasileiro está realmente acostumado a cometer deslizes morais e éticos e talvez nem perceba quando está corrompendo ou sendo corrompido. Isso é o que vai sendo passado para as próximas gerações. É preciso que as famílias brasileiras, honestas, insistam na educação de seus filhos, exercitando atitudes honestas, mostrando que hoje vivemos uma realidade dura, fruto da desonestidade vivida ao longo do tempo."	3.50	1.00	1.00	0.50	0.50	0.50
"Filantropia: um exemplo a ser seguido?"	"Acolher á Filantropia"	"Filantropia deve ser um exemplo a ser seguido. Milionários, Bilionários... Essas pessoas não possuem problemas financeiros, diferente do José, que era auxiliar de limpeza. Quatro filhos, sua esposa, assim como ele, está desempregada á quatro meses, o Seguro Desemprego está acabando. Seus filhos voltam da escola, nada para fazer. O clubinho de futebol foi cortado do orçamento familiar, um gasto desnecessário. Suas duas filhas continuam com o sonho de fazer balé, cada vez mais distante. Isso acontece cada vez mais na população brasileira. O desemprego só aumenta, e a sociedade diminui a perspectiva de vida. Em minha opinião, empresários bem sucedidos, cantores, enfim, pessoas que estejam nas “condições” para participar do programa sugerido pelo casal Elie e Suzan, só trazem aspectos positivos, pois revertem problemas decorrentes da atual situação política brasileira. Essas doações podem ser investidas em projetos sociais, como clubinhos de futebol, escolas de dança, teatro, música. Investir em quadras, pracinhas, projetos sociais voltados para os idosos, como alfabetização, esportes, exercícios físicos; voltado para os trabalhadores, como uma academia de ginástica, luta e dança, gratuitamente. Um projeto em que ajude financeiramente pessoas que estão precisando na área da saúde, como uma cirurgia que não pode esperar, ou algum remédio que está em falta no SUS."	3.50	1.00	0.50	0.50	0.50	1.00
"O sucesso vem da escola ou do esforço individual?"	"Compromisso com a educação"	"“Feliz aquele que transfere o que sabe e aprende o que ensina”. Essa frase da saudosa poetisa Cora Coralina é o argumento para a motivação de professores que contribuem para o sucesso de muitas escolas no interior do Brasil. Apesar dos governos continuarem desvalorizando os professores da rede pública de ensino ainda assim encontramos escolas que contribuem decisivamente para o bom desempenho do Índice de Desenvolvimento da Educação Básica (Ideb) em seus municípios. Essas metas são alcançadas graças a motivação desses profissionais que, mesmo com baixos salários acabam ministrando boas aulas, porque amam a profissão. São eles que levam conhecimento e incentivo aos alunos. Tudo isso aliado a uma competente direção que, através de um regime disciplinar exigente proporciona a seus alunos uma escola compromissada com o que ministra. O resultado não poderia ser diferente: a evolução intelectual de seus alunos e a boa repercussão da escola na comunidade que por ser referência entre os estudantes acaba virando local de migração de outros estudantes que pedem aos pais a transferência. Concluo que o sucesso educacional de um povo é resultado da boa escola que acolhe e orienta para formação de futuros profissionais nas mais variadas profissões ."	7.00	1.50	1.00	2.00	2.00	0.50
"Mariana: fatalidade ou negligência?"	"Negligência trágica em Mariana"	"Após semanas da tragédia de Mariana, centenas de famílias ainda estão sem casa, há famílias sofrendo pelos seus familiares mortos ou desaparecidos, centenas de cidades se prejudicaram devido ao acontecimento e, sem esquecer, a lama de rejeitos degradou com a fauna e a flora do rio Doce. Porém, será que esses acontecimentos foram somente acidentes? O acontecimento de Mariana mostrou-nos a falta de fiscalização da Mineradora Samarco de cuidar de suas barragens, a falta de estrutura para alertar as famílias da avalanche de lama, que destruiu tudo por que passou. Se não fosse pela grande negligência e falta de fiscalização da mineradora, provavelmente o estrago feito pela lama seria menor, dezenas de pessoas não morreriam ou a tragédia seria totalmente evitada."	2.50	1.00	0.50	0.50	0.50	0.00
"Política X Ciência: a “pílula do câncer”"	"Política X Ciência: Perigo ou Salvação?"	"Há tempos, observa-se que muitos médicos, cientistas e pessoas especializadas na área da ciência, buscam formas para curar o câncer, com isso surgiu a famosa pílula fosfoetanolamina. Essa pílula surgiu como forma de revolucionar a ciência e propor uma melhor qualidade de vida com quem tem a doença. É fundamental observamos que ainda não é comprovada a sua cura. Muitas pessoas com diferentes tipos de cânceres já o aderiram e tiveram bons resultados, não tiveram a cura, mas, tiveram uma boa melhora. Além disso seu uso foi devidamente liberado, pois a presidente Dilma Rousseff liberou a lei para a liberação do mesmo. Muitos dos que tem a doença ficam com uma expectativa melhor por saber que pode haver uma cura ou uma melhora no caso. Por outro lado, alguns cientistas não concordam com sua liberação, pelo fato de ainda não saber de sua eficiência e se causa algum risco. Sendo assim é sempre bom fazer testes antes de qualquer uso e que tantos cientistas quanto médicos busquem melhorar seu produto e continuarem buscando formas para curar o câncer e assim dar esperanças aos adquiridos com a doença."	1.00	0.50	0.50	0.00	0.00	0.00
"Artes e educação física: opcionais ou obrigatórias?"	"Educação: notório saber"	"Absurdamente nossos governantes vem cometendo mais erros na área educacional, os quais poderão levar mais ao fundo do poço os índices de evasão escolar de nossos estudantes. Para melhorar esses índices são necessárias muitas outras ações a nível social e educacional que acrescentem e não retirem nada do que já conquistamos. Neste tempo em que os estudantes ficam a maior parte de seu tempo conectados aos meios tecnológicos e sendo assim não praticam exercícios físicos, é imprescindível ofertar a eles a prática esportiva e a oportunidade para desenvolver habilidades artísticas. Outros dois equívocos são: acreditar que temos estrutura física disponível para trabalhar em tempo integral em todos os estabelecimentos educacionais do país e não observar que nossa clientela vem de famílias carentes, que vislumbram a entrada no Ensino Médio e a possibilidade de trabalhar meio período para colaborar com a renda familiar. Enquanto os que tem o poder de melhorar os aspectos educacionais estiverem se pronunciando com “notório saber”, sem conhecer nossas realidades e reais necessidades, estaremos, infelizmente, a um passo de piorar ainda mais a educação de nosso país."	0.50	0.50	0.00	0.00	0.00	0.00
"Por que o Brasil não consegue vencer o Aedes aegypti?"	"Motivos da ineficiência no combate contra o Aedes aegypti"	"É inegável que há um problema de saúde público , causado pelo Aedes Aegypti , tais como Dengue , chikungunya e Zika. O governo e órgãos competente vêm combatendo constantemente o mosquito, através de prevenção, informação e novos métodos, porém não está havendo eficacia , visto que só aumenta o número de vítimas dos vírus transmitido pelo Aedes. Em primeira análise, os métodos utilizados pelos governo e órgãos, como Larvicidas e o combate aos locais apropriados de procriação do mosquito são eficazes. Porém os agentes de epidemia não tem acesso a todos os recintos familiares, por motivo, como os proprietários não permiti o acesso dos mesmos, para aplicação do veneno e verificação ou prevenção de locais apropriado para desenvolvimento da larva do mosquito. Em segunda análise, as informações propostas de combate ao mosquito pelo governo, através de mídias como TVs, rádio, internet, jornais etc., não estão gerando efeito na população, já que o índice de infecções de Dengue , chikungunya e Zika só tem aumentado. Logo o governo tem que investir mais em meios de conseguir educar a população no combate a Dengue . Por fim, os órgãos competentes deve investirem em novos meios de combates e prevenção ao Aedes Aegypti , como o mosquito transgênico, o qual contém uma bactéria que faz as larvas morrerem ao nascer, este está sendo muito eficaz . Portanto, o governo necessitária menos dos cidadãos, já que o trabalho de combate será feito pelos próprios mosquitos geneticamente modificados junto com os agentes que iram liberá-los nas zonas urbanas com maior índice de casos de tal assunto tratado. Conclui-se que as larvicidas e prevenções de locais apropriados serem eficazes na guerra contra o mosquito, tem que se investir em outros meios, por causa, das dificuldades encontradas para acessar os recintos familiares. Logo os mosquitos transgênicos é a melhor aposta do governo com os resultados obtidos."	6.50	0.50	2.00	1.50	1.50	1.00
"Escravizar é humano?"	"Escravidão: vergonha a ser extinta"	"Pessoas acorrentadas com o sonho de liberdade que para muitos nunca se concretizou. Esse era o cenário da escravidão no Brasil até a assinatura da Lei Áurea de 1888. Porém, engana-se quem pensa que tal documento extinguiu uma vergonha que apenas vestiu outros trajes para manchar a história contemporânea. A escravidão, apesar de ferir a legalidade e os princípios éticos e democráticos, é praticada por muitas empresas e empreendedores individuais. No Brasil, por exemplo, esse é um fato muito recorrente. Pessoas são contratadas por empregadores que não pagam salários dignos, em condições insalubres sem equipamento de segurança e ainda submetidas muitas vezes à privação de sua liberdade de ir e vir por dívidas que não têm qualquer fundamento. Isso acontece, principalmente, porque devido ao incentivo à acumulação de capital próprio do sistema econômico vigente, muitos empregadores tendem a não medir esforços em busca do lucro e acabam desconsiderando o valor da vida humana, acrescendo-se também a falta de fiscalização, especialmente em locais isolados, e a escassez de oportunidades de trabalho a pessoas que se submetem a exercer essas funções. Dessa forma, o regime de trabalho escravo não traz qualquer saldo positivo: destrói a saúde e até a vida dos trabalhadores, tira crianças da escola e o empresário, quando é descoberto, segundo a recém-aprovada PEC do trabalho escravo de 2014, tem suas terras expropriadas, sem qualquer indenização, além de incorrer em pena privativa de liberdade segundo o Código Penal. Portanto, a escravidão deve ser um regime vergonhoso que apenas os livros e documentos históricos possam abrigá-la. Para isso, é preciso que se intensifique a fiscalização por órgãos como sindicatos trabalhistas e o Ministério do Trabalho, e que qualquer irregularidade seja punida sem qualquer abono da Justiça. Além disso, é preciso que o governo federal crie e incentive oportunidades de emprego e renda dignas especialmente em áreas mais carentes, como por exemplo, reduzindo impostos aos microempreendedores. Afinal o Brasil só poderá ser um país de todos quando seus trabalhadores tiverem intactos seus direitos trabalhistas e suas dignidades."	6.00	1.50	1.50	1.00	1.00	1.00
"Carta-convite: discutir discriminação na escola"	"Família: célula-mãe"	"Como conviver pacificamente em sociedade? Esse tem sido um dilema muito debatido pelos estudiosos e lideres de nações. Quando se fala a convivência não se pode deixar de mencionar a intolerância, seja ela de gênero, raça ou religião. Os atos de intolerância vêm ganhando as manchetes dos telejornais, recentemente a âncora do maior jornal de televisão do Brasil foi vítima de ataques preconceituosos em sua rede social na internet. Maria Julia Coltinho , mesmo sendo uma pessoa conhecida pelo seu carisma em um jornal que geralmente necessita-se de seriedade, o que dificultaria mostrar essa característica. Ainda que tendo afeição do publico ela não pôde escapar dos comentários maldosos em sua pagina na rede mundial de computadores, imagine então o que ocorre com pessoas anônimas no mundo virtual e principalmente no real. Pense na possibilidade de isso ocorrer com o seu filho ou ate mesmo um conhecido seu. O que fazer para mudar essa realidade? Mudar essa realidade é uma tarefa difícil, pois ela está presente desde que se conhece a ideia de sociedade. Na Grécia Antiga era comum a presença de divisões dentro da sociedade. Por fim, o que se pode tentar debater o tema com maior frequência nas escolas, conversar com a comunidade estudantil sobre a implementação de novas matérias no currículo escolar. Ética e amor ao próximo deveriam ser temas recorrentes na vida do aluno, e ainda o mais imprescindível à participação da família junto à escola, haja vista que a família e é a célula-mãe de uma sociedade tolerante as diferenças."	2.50	1.00	0.00	0.50	0.50	0.50
"Estupro: como prevenir esse crime?"	"Estupro: uma mancha na alma feminina"	"Em tempos “modernos” a mente humana ainda possui as suas contundências machista e falso moralismo. Apesar das informações chegarem mais rápido as pessoas através de meio de comunicações e redes sociais as mesmas na maioria retém apenas o básico e muitas vezes desnecessários para suas vidas. Mesmo sendo um assunto delicado de se abordar e educar infelizmente é algum muito comum de se acontecer independente da classe social. Costuma-se culpar a vitima com pensamentos machista dando características as roupas, insinuações, palavra de baixo calão dando a entender que a pessoa procurou isso quando na maior parte do tempo vem da mente doentia do agressor. A realidade é que ninguém tem o direito de ser tocado se não quiser, e o seu jeito de ser não é um convite a ser atacado por ninguém. Uma maneira paliativa é trazer esse assunto nas escolas juntamente com o auxilio dos Órgãos Governamentais trazendo informações aos jovens que serão os adultos do amanha . Quanto as punições advindas para ato nem sempre ocasiona em transformação de caráter ao agressor que por sua vez ao cumprir se torna tão pior quanto antes. Mas a Educação transformas pessoas costuma se dizer que: Pensamento gera ação, ação gera habito, habito gera caráter e caráter gera o seu destino. O estupro causa em suas vitimas uma mancha na alma que alvejante nenhum tira, trazendo aqueles que não consegue superar a certeza da injustiça humana. Que a educação possa ser o meio da prevenção desse ato desumano."	2.50	0.50	0.50	0.50	0.50	0.50
"Disciplina, ordem e autoridade favorecem a educação?"	"Em busca de uma educação de qualidade"	"A escola é uma instituição que serve para instruir e transformar uma sociedade. O Brasil é um dos países que apresenta uma baixa qualidade de ensino. Existem algumas escolas que se destacam pela disciplina, ordem e autoridade como os colégios militares. Ensinar o indivíduo a lutar pelos seus objetivos e direitos, é o que falta para o sistema educacional ser eficiente. As escolas brasileiras sofrem constantemente com a indisciplina por parte dos alunos. Um dos exemplos seriam as ocorrências de violência e vandalismo, entre outros fatos que prejudicam o processo normal de ensino-aprendizagem. Além disso, a questão politica salarial do professor reflete na educação, uma vez que estes perdem a motivação para realizar um bom trabalho. Os colégios militares do Brasil têm apresentado bons resultados, pois o sistema de educação é mais rígido. Visto que alcançou destaque no Enem (Exame Nacional do Ensino Médio) do ano passado. Nessas instituições o nível de indisciplina, violência e vandalismo são menores. Os professores exercem mais influência e as regras são mais rígidas. Quando se está em um ambiente sociável que impere respeito, o aluno tende a se motivar e aprender mais. Portanto, o Brasil ainda possui uma estrutura moral e comportamental agravante no cenário educacional. O governo deveria investir mais na educação, valorizando o professor para que este desempenhe melhor sua função. Além de buscar métodos mais eficientes de aprendizagem. Como nos colégios militares, poderia focar na ordem, disciplina e respeito mútuo para formar cidadãos mais críticos e dispostos a cursar o ensino superior."	3.00	1.00	0.50	0.50	0.50	0.50
"Escola no Brasil: com partido ou sem partido?"	"O professor doutrina?"	"Diante da emersão do projeto de Lei “Escola sem Partido”, necessita-se analisar os pressupostos dessa proposta conservadora, porque busca intimidar o professor ao coibi-lo de expor suas ideologias no ambiente de ensino. O educador é um ser social crítico, proibi-lo de exercer sua função social é um atraso histórico. A sociedade é marcada por divisões de classes antagônicas que se relacionam por diferentes meios. Nesse contexto, o profissional da educação é vítima de um sistema social alienador que impõe medo e individualiza os seres humanos. O professor na escola discute e aborda suas ideias sejam elas críticas ou conservadoras, o aluno democraticamente escolhe qual segui-la . Nessa perspectiva o professor não doutrina, e sim esclarece dúvidas. Acusá-lo de doutrinação é oprimi-lo de construir uma sociedade democrática que luta por direitos e reconhece seus deveres. A educação tem a função social de construir indivíduos conscientes, justos, críticos que não se intimidam pelas desigualdades. No entanto, o ato de educador não esta livre de alienação e alienadores. Em tese, aprovar a “Escola sem Partido” que prevê a punição aos professores que façam “doutrinação ideológica” na escola é um retrocesso. Pois, em vez de proibir, devemos exigir a discussão, a análise e o exame dos pressupostos que norteiam o discurso de pais, professores e alunos."	5.50	1.00	1.50	1.00	1.00	1.00
"Pós-verdade, opinião pública e democracia"	"A pós-verdade: única e absoluta"	"Nesta última década, cada vez mais pessoas acreditam no que querem acreditar. Essas se tornam mais vulneráveis à manipulação por não se abrirem a novos questionamentos e a opiniões diferentes das suas. Chamados de pós-verdade, esses fatos são interpretações de percepções individuais. Porém devido a desconfiança da veracidade das informações dos noticiários, da mídia e até mesmo dos consensos formados nas escolas, essas análises são tidas como verdadeiras. As pessoas que se utilizam de situações pós-verdade estão mais vulneráveis a acreditar nas informações que lhe são apresentadas e assim serem manipuladas. Uma vez que não querem se expor ao contraditório, à dúvida ou mesmo admitirem que estavam erradas. Logo, se as pessoas não se permitirem a pensar, a criar novas opiniões, serão sempre influenciadas a acreditar na sua pós-verdade, única e absoluta."	1.00	0.50	0.50	0.00	0.00	0.00
"Impeachment: a presidente deve perder o mandato?"	"Não ao retrocesso, viva a democracia"	"Atualmente, num país tropical e constitucional, a questão que vem sendo discutida é a possibilidade de um impeachment da presidente da república , Dilma Rousseff, do PT. Nesse ambiente de discussão política, é necessário certificar se há justificativas plausíveis para que esse afastamento da presidente venha a acontecer. E é nesse contexto onde surge a pergunta: “Impeachment: a presidente deve perder o mandato?”. A Constituição vigente no Brasil é a de 1988, esta, que existe crime de responsabilidade cometido pelo presidente da república para que aja um impeachment. Baseado nessa informação e em fatos jurídicos, não há crime ou investigação comprovado contra Dilma Rousseff no seu segundo mandato. É notável que existe uma oposição conservadora, com estratégias políticas que visa apenas o seu benefício com esse afastamento da atual presidente. Seria um golpe ou um impeachment? Um golpe. Golpe este, disfarçado pela oposição, de combate à corrupção e à crise econômica. É impossível não comparar essa atual situação com o golpe de 1964, onde um discurso camuflado de melhorias para o país, estendeu-se para uma ditadura militar que durou 21 anos, estes, de perseguição, silêncio popular e trevas. Mediante esses argumentos e fatos históricos, fica claro que a sociedade tem um papel importante e não deve permitir um tamanho retrocesso. É necessário investir em aulas de história e palestras, abrindo assim, caminho para a não alienação da mídia na sociedade. Protestos pacíficos e atitudes que valorizem a democracia, pois como diz o historiador Leandro Karnal, “A democracia ainda é o melhor sistema de um país”."	3.50	1.00	1.00	0.50	0.50	0.50
"Pós-verdade, opinião pública e democracia"	"O que é a verdade? Depende do meu ponto de vista"	"É notório que as informações vêm de diversos meios, porém nos dias atuais o terreno da internet é o mais popular, mas vem se tornando cada dia mais um campo de batalha de opiniões, que muitas vezes não têm nenhum fundamento e estão baseadas em mentiras. Muitos leem uma notícia e se gostam do que está escrito tomam para si como verdade absoluta sem verificarem se é real ou apenas boato, o importante é que a informação seja condizente com a opinião que possuem. Sabe-se que a informação hoje em dia cada vez mais rápido, e os meios para expressar a opinião cada vez mais abrangentes, e isso é bom, porém tem seus efeitos colaterais, como tudo que não tem limite ou não é usado com bom senso. Com a modernidade das redes sociais, todo o conteúdo da internet à disposição e o fato de não precisar se expor para opinar, deixa o terreno ainda mais propicio para muitos falarem o que querem sem se importarem com a verdade e com os fatos reais. Estamos vivendo a era “o que é a verdade? Depende do meu ponto de vista”, não importa os fatos, as comprovações, as provas, o que importa é a opinião e as crenças que cada um possui e que muitos não a trocam por nada. Isso é uma democracia muito distorcida, tem que haver um meio termo, pois não tem sentido descartar os fatos e mostrar apenas a versão que melhor lhe cabem. Desse modo quem se expressa precisa respeitar os fatos e, muito mais que isso, precisam se aprofundarem buscando fontes concretas para conseguirem construir uma opinião condizente e baseada na verdade. Diante disso, em muitos casos é importante aceitar que a verdade dos fatos não precisa ser alterada, apenas ser aceita."	5.00	1.00	1.00	1.00	1.00	1.00
"A tecnologia e a eliminação de empregos"	"Avanço tecnológico ou crise mundial"	"É de nosso conhecimento que a tecnologia vem avançando cada vez mais, e que a inteligencia artificial vem se tornando uma realidade, além das maquinas que já substituem o homem em diversas atividades variadas. Com a programação correta, qualquer robô pode exercer uma atividade, dês de o plantio de vegetais à montagem de automóveis. Para as grandes corporações isso seria uma enorme vantagem, pois teriam funcionários não remunerados, que exerceriam seu trabalho com perfeição, além de não se cansarem ou ficarem doentes, no máximo um erro de programação. Temos a ideia de que vários empregos serão perdidos, devido a elas já atuarem em alguns setores, mas para essa diferença ficar massiva, ainda seriam necessários mais alguns anos de pesquisas e analises cuidadosas devido qualquer erro de programação ser um certo risco. Visto isso, somos levados a crer que seriamos dispensáveis, porém outras profissões seriam criadas e nem tudo seria perdido, devido o alto custo de compra e manutenção desses robôs, nossas habilidades seriam valorizadas tais como o improviso, que nos permite lidar mais facilmente com algo que não foi programado, mesmo com esse cenário, o ser humano consegue se destacar devido seu potencial de lidar com a vida ao seu redor, sendo assim vários empregos seriam re-estabelecidos e a humanidade não irá sofrer com o desemprego."	3.00	1.00	0.50	0.50	0.50	0.50
"Bandido bom é bandido morto?"	"A maldade esta no mundo"	"Para a metade do país acredita que bandido bom é bandido morto, em certo caso não é o que podemos comprovar que seja certo ou errado, por que se julgamos um bandido por ser cruel, não temos conceito nenhum de elogiar um trabalho de má atitude de um policial, se referindo ao mundo de hoje é incerto aceitar o que vem pela frente, seja o bandido que for. mãe alguma não tem a culpa de ter um filho assim, e raramente são poucas que aceita que o fale desse jeito, certamente não devemos de jeito algum jurar a morte do próximo, um dos erros que vimos muito é a maldade que a polícia vem trazendo é isso ninguém pensa no quanto não devemos confiar em policia por nos ajudar diante de uns bandidos por ai, os próprios bandidos são os policias e isso a população alguma se comove com a verdade."	0.00	0.00	0.00	0.00	0.00	0.00
"Perigos do universo digital"	"O Mundo Digital"	"O mundo digital todos ficam informados sobre tudo que acontece no mundo em segundos. Muitas crianças e adolescentes ficam horas conectados na internet isso é um perigo pois ficam expostos a tudo que a internet disponibiliza. Na internet tem todos os tipos de conteúdos, com isso é muito difícil de controlar o que as pessoas veem, principalmente crianças e adolescentes. Estas muitas vê conteúdos impróprios para sua idade como por exemplo pornográfica Também muitas sofrem bullyng por postar algo. Com isso ficam muito exposta os, pais devem ficar sempre atentos em saber o quê conteúdo os filhos estão vendo na internet, se são apropriados para a sua idade e se nas redes sociais estão sofrendo bullyng, muitas vezes crianças e adolescentes sofrem bullyng por ser fã de uma banda, cantor, por esta acima do peso, elas acabam não querendo ir a escola por isso os pais tem que ficar atentos. Por tanto algumas medidas tem que ser tomadas, como por exemplo os pais tem que selecionar os conteúdos, bloquear sites que são impróprios para sua idade. ficar por perto enquanto os filhos acesa internet . Essas medidas podem ajudar crianças e adolescentes a usar a internet sem perigo."	3.50	0.50	1.00	0.50	0.50	1.00
"A tecnologia e a eliminação de empregos"	"Uma nova revolução, um novo avanço!"	"A tecnologia está se tornando cada vez mais presente em nosso cotidiano. O que vem gerando grande preocupação, pois essas máquinas iram competir com profissionais no mercado de trabalho, e iram deixar muitos desempregados. A tecnologia está, nos dias atuais, sempre ativa no nosso cotidiano. Não podemos esquecer que ela ajudou no avanço do mercado de trabalho e, com seu avanço uma parte da humanidade deixou de exercer tarefas árduas. Mas, esse rápido avanço da tecnologia vem gerando preocupação, pois a tendência é que ela elimine empregos, e o fará rapidamente. Isso irá levar a uma alta competitividade no mercado de trabalho, e irá acarretar no aumento de desempregados, e consequentemente ao aumento da desigualdade social. Contudo, no mercado de trabalho haverá novas oportunidades, mas só poderão exerce-los aqueles que forem qualificados e tiverem o perfil demandado pelo mercado. Isso levará ao desemprego de trabalhadores sem qualificação, o que nos leva a crer que o ensino deverá ter mudanças, para que não cresça de uma forma gigantesca o número de desempregados. Isso futuramente trará grandes oportunidades, pois motivará as pessoas a se tornarem cada vez mais qualificadas para ingressarem no mercado de trabalho. Portanto, a tecnologia irá aumentar o desemprego, pois eliminará trabalhadores sem qualificação. Porém, irá motivar a melhora do ensino e também ao crescimento de profissionais com o perfil demandado pelo mercado. Isso trará um novo avanço, tanto do mercado de trabalho quanto dos profissionais."	4.00	1.00	1.00	0.50	0.50	1.00
"Perigos do universo digital"	"Internet: um abismo virtual"	"A Terceira Revolução Industrial, proporcionou o desenvolvimento e aprimoramento das tecnologias de informação, criando inúmeras ferramentas que alciliam no dia-a-dia , como a Internet. No entanto essa mobilidade facilita a exposição de conteúdos inapropriados para crianças e adolescentes, além de ser um ótimo caminho para o chamado cyberbully . Apesar dos vários pontos positivos que esse mundo virtual nos possibilita , a intensa exposição e insegurança levam os menores de idade a terem acesso a conteúdos via adulto ou pornográficos , consequentemente acabam criando uma ideologia distorcida do sexo, tornam-se violentos e podem até ocasionarem abusos sexuais. Acrescido a isso e através de redes sociais como, facebook, twitter, instagram etc , um possível agressor estabiliza e inicia sua “diversão”, fazendo críticas, ofensas e publicações de fotos ou vídeos que invadem a privacidade de outrem pertubando a vida da vítima e levando-a a ter problemas piscológicos e pensamentos suícidas . A Internet é um verdadeiro abismo virtual, por isso, cabe principalmente aos pais fiscalizarem e por meio de aplicativos, capazes de privatizar páginas com conteúdos impróprios, colocarem limites em seus filhos, impedindo que esse mal se prolifere ."	3.00	0.50	1.00	0.50	0.50	0.50
