mS#theme	S#title	S#text	cC#comp1	iC#comp2	iC#comp3	iC#comp4	iC#comp5
"filantropia: um exemplo a ser seguido?"	"acolher a filantropia"	"filantropia deve ser um exemplo a ser seguido. milionarios, bilionarios... essas pessoas nao possuem problemas financeiros, diferente do jose, que era auxiliar de limpeza. quatro filhos, sua esposa, assim como ele, esta desempregada a quatro meses, o seguro desemprego esta acabando. seus filhos voltam da escola, nada para fazer. o clubinho de futebol foi cortado do orcamento familiar, um gasto desnecessario. suas duas filhas continuam com o sonho de fazer bale, cada vez mais distante. isso acontece cada vez mais na populacao brasileira. o desemprego so aumenta, e a sociedade diminui a perspectiva de vida. em minha opiniao, empresarios bem sucedidos, cantores, enfim, pessoas que estejam nas “condicoes” para participar do programa sugerido pelo casal elie e suzan, so trazem aspectos positivos, pois revertem problemas decorrentes da atual situacao politica brasileira. essas doacoes podem ser investidas em projetos sociais, como clubinhos de futebol, escolas de danca, teatro, musica. investir em quadras, pracinhas, projetos sociais voltados para os idosos, como alfabetizacao, esportes, exercicios fisicos; voltado para os trabalhadores, como uma academia de ginastica, luta e danca, gratuitamente. um projeto em que ajude financeiramente pessoas que estao precisando na area da saude, como uma cirurgia que nao pode esperar, ou algum remedio que esta em falta no sus."	1.00	0.50	0.50	0.50	1.00
"o sucesso vem da escola ou do esforco individual?"	"compromisso com a educacao"	”"feliz aquele que transfere o que sabe e aprende o que ensina". essa frase da saudosa poetisa cora coralina e o argumento para a motivacao de professores que contribuem para o sucesso de muitas escolas no interior do brasil. apesar dos governos continuarem desvalorizando os professores da rede publica de ensino ainda assim encontramos escolas que contribuem decisivamente para o bom desempenho do indice de desenvolvimento da educacao basica (ideb) em seus municipios. essas metas sao alcancadas gracas a motivacao desses profissionais que, mesmo com baixos salarios acabam ministrando boas aulas, porque amam a profissao. sao eles que levam conhecimento e incentivo aos alunos. tudo isso aliado a uma competente direcao que, atraves de um regime disciplinar exigente proporciona a seus alunos uma escola compromissada com o que ministra. o resultado nao poderia ser diferente: a evolucao intelectual de seus alunos e a boa repercussao da escola na comunidade que por ser referencia entre os estudantes acaba virando local de migracao de outros estudantes que pedem aos pais a transferencia. concluo que o sucesso educacional de um povo e resultado da boa escola que acolhe e orienta para formacao de futuros profissionais nas mais variadas profissoes ."	1.50	1.00	2.00	2.00	0.50
"mariana: fatalidade ou negligencia?"	"negligencia tragica em mariana"	"apos semanas da tragedia de mariana, centenas de familias ainda estao sem casa, ha familias sofrendo pelos seus familiares mortos ou desaparecidos, centenas de cidades se prejudicaram devido ao acontecimento e, sem esquecer, a lama de rejeitos degradou com a fauna e a flora do rio doce. porem, sera que esses acontecimentos foram somente acidentes? o acontecimento de mariana mostrou-nos a falta de fiscalizacao da mineradora samarco de cuidar de suas barragens, a falta de estrutura para alertar as familias da avalanche de lama, que destruiu tudo por que passou. se nao fosse pela grande negligencia e falta de fiscalizacao da mineradora, provavelmente o estrago feito pela lama seria menor, dezenas de pessoas nao morreriam ou a tragedia seria totalmente evitada."	1.00	0.50	0.50	0.50	0.00
"politica x ciencia: a “pilula do cancer”"	"politica x ciencia: perigo ou salvacao?"	"ha tempos, observa-se que muitos medicos, cientistas e pessoas especializadas na area da ciencia, buscam formas para curar o cancer, com isso surgiu a famosa pilula fosfoetanolamina. essa pilula surgiu como forma de revolucionar a ciencia e propor uma melhor qualidade de vida com quem tem a doenca. e fundamental observamos que ainda nao e comprovada a sua cura. muitas pessoas com diferentes tipos de canceres ja o aderiram e tiveram bons resultados, nao tiveram a cura, mas, tiveram uma boa melhora. alem disso seu uso foi devidamente liberado, pois a presidente dilma rousseff liberou a lei para a liberacao do mesmo. muitos dos que tem a doenca ficam com uma expectativa melhor por saber que pode haver uma cura ou uma melhora no caso. por outro lado, alguns cientistas nao concordam com sua liberacao, pelo fato de ainda nao saber de sua eficiencia e se causa algum risco. sendo assim e sempre bom fazer testes antes de qualquer uso e que tantos cientistas quanto medicos busquem melhorar seu produto e continuarem buscando formas para curar o cancer e assim dar esperancas aos adquiridos com a doenca."	0.50	0.50	0.00	0.00	0.00
"artes e educacao fisica: opcionais ou obrigatorias?"	"educacao: notorio saber"	"absurdamente nossos governantes vem cometendo mais erros na area educacional, os quais poderao levar mais ao fundo do poco os indices de evasao escolar de nossos estudantes. para melhorar esses indices sao necessarias muitas outras acoes a nivel social e educacional que acrescentem e nao retirem nada do que ja conquistamos. neste tempo em que os estudantes ficam a maior parte de seu tempo conectados aos meios tecnologicos e sendo assim nao praticam exercicios fisicos, e imprescindivel ofertar a eles a pratica esportiva e a oportunidade para desenvolver habilidades artisticas. outros dois equivocos sao: acreditar que temos estrutura fisica disponivel para trabalhar em tempo integral em todos os estabelecimentos educacionais do pais e nao observar que nossa clientela vem de familias carentes, que vislumbram a entrada no ensino medio e a possibilidade de trabalhar meio periodo para colaborar com a renda familiar. enquanto os que tem o poder de melhorar os aspectos educacionais estiverem se pronunciando com “notorio saber", sem conhecer nossas realidades e reais necessidades, estaremos, infelizmente, a um passo de piorar ainda mais a educacao de nosso pais."	0.50	0.00	0.00	0.00	0.00
"por que o brasil nao consegue vencer o aedes aegypti?"	"motivos da ineficiencia no combate contra o aedes aegypti"	"e inegavel que ha um problema de saude publico , causado pelo aedes aegypti , tais como dengue , chikungunya e zika. o governo e orgaos competente vem combatendo constantemente o mosquito, atraves de prevencao, informacao e novos metodos, porem nao esta havendo eficacia , visto que so aumenta o numero de vitimas dos virus transmitido pelo aedes. em primeira analise, os metodos utilizados pelos governo e orgaos, como larvicidas e o combate aos locais apropriados de procriacao do mosquito sao eficazes. porem os agentes de epidemia nao tem acesso a todos os recintos familiares, por motivo, como os proprietarios nao permiti o acesso dos mesmos, para aplicacao do veneno e verificacao ou prevencao de locais apropriado para desenvolvimento da larva do mosquito. em segunda analise, as informacoes propostas de combate ao mosquito pelo governo, atraves de midias como tvs, radio, internet, jornais etc., nao estao gerando efeito na populacao, ja que o indice de infeccoes de dengue , chikungunya e zika so tem aumentado. logo o governo tem que investir mais em meios de conseguir educar a populacao no combate a dengue . por fim, os orgaos competentes deve investirem em novos meios de combates e prevencao ao aedes aegypti , como o mosquito transgenico, o qual contem uma bacteria que faz as larvas morrerem ao nascer, este esta sendo muito eficaz . portanto, o governo necessitaria menos dos cidadaos, ja que o trabalho de combate sera feito pelos proprios mosquitos geneticamente modificados junto com os agentes que iram libera-los nas zonas urbanas com maior indice de casos de tal assunto tratado. conclui-se que as larvicidas e prevencoes de locais apropriados serem eficazes na guerra contra o mosquito, tem que se investir em outros meios, por causa, das dificuldades encontradas para acessar os recintos familiares. logo os mosquitos transgenicos e a melhor aposta do governo com os resultados obtidos."	0.50	2.00	1.50	1.50	1.00
"escravizar e humano?"	"escravidao: vergonha a ser extinta"	"pessoas acorrentadas com o sonho de liberdade que para muitos nunca se concretizou. esse era o cenario da escravidao no brasil ate a assinatura da lei aurea de 1888. porem, engana-se quem pensa que tal documento extinguiu uma vergonha que apenas vestiu outros trajes para manchar a historia contemporanea. a escravidao, apesar de ferir a legalidade e os principios eticos e democraticos, e praticada por muitas empresas e empreendedores individuais. no brasil, por exemplo, esse e um fato muito recorrente. pessoas sao contratadas por empregadores que nao pagam salarios dignos, em condicoes insalubres sem equipamento de seguranca e ainda submetidas muitas vezes a privacao de sua liberdade de ir e vir por dividas que nao tem qualquer fundamento. isso acontece, principalmente, porque devido ao incentivo a acumulacao de capital proprio do sistema economico vigente, muitos empregadores tendem a nao medir esforcos em busca do lucro e acabam desconsiderando o valor da vida humana, acrescendo-se tambem a falta de fiscalizacao, especialmente em locais isolados, e a escassez de oportunidades de trabalho a pessoas que se submetem a exercer essas funcoes. dessa forma, o regime de trabalho escravo nao traz qualquer saldo positivo: destroi a saude e ate a vida dos trabalhadores, tira criancas da escola e o empresario, quando e descoberto, segundo a recem-aprovada pec do trabalho escravo de 2014, tem suas terras expropriadas, sem qualquer indenizacao, alem de incorrer em pena privativa de liberdade segundo o codigo penal. portanto, a escravidao deve ser um regime vergonhoso que apenas os livros e documentos historicos possam abriga-la. para isso, e preciso que se intensifique a fiscalizacao por orgaos como sindicatos trabalhistas e o ministerio do trabalho, e que qualquer irregularidade seja punida sem qualquer abono da justica. alem disso, e preciso que o governo federal crie e incentive oportunidades de emprego e renda dignas especialmente em areas mais carentes, como por exemplo, reduzindo impostos aos microempreendedores. afinal o brasil so podera ser um pais de todos quando seus trabalhadores tiverem intactos seus direitos trabalhistas e suas dignidades."	1.50	1.50	1.00	1.00	1.00
"carta-convite: discutir discriminacao na escola"	"familia: celula-mae"	"como conviver pacificamente em sociedade? esse tem sido um dilema muito debatido pelos estudiosos e lideres de nacoes. quando se fala a convivencia nao se pode deixar de mencionar a intolerancia, seja ela de genero, raca ou religiao. os atos de intolerancia vem ganhando as manchetes dos telejornais, recentemente a ancora do maior jornal de televisao do brasil foi vitima de ataques preconceituosos em sua rede social na internet. maria julia coltinho , mesmo sendo uma pessoa conhecida pelo seu carisma em um jornal que geralmente necessita-se de seriedade, o que dificultaria mostrar essa caracteristica. ainda que tendo afeicao do publico ela nao pode escapar dos comentarios maldosos em sua pagina na rede mundial de computadores, imagine entao o que ocorre com pessoas anonimas no mundo virtual e principalmente no real. pense na possibilidade de isso ocorrer com o seu filho ou ate mesmo um conhecido seu. o que fazer para mudar essa realidade? mudar essa realidade e uma tarefa dificil, pois ela esta presente desde que se conhece a ideia de sociedade. na grecia antiga era comum a presenca de divisoes dentro da sociedade. por fim, o que se pode tentar debater o tema com maior frequencia nas escolas, conversar com a comunidade estudantil sobre a implementacao de novas materias no curriculo escolar. etica e amor ao proximo deveriam ser temas recorrentes na vida do aluno, e ainda o mais imprescindivel a participacao da familia junto a escola, haja vista que a familia e e a celula-mae de uma sociedade tolerante as diferencas."	1.00	0.00	0.50	0.50	0.50
"estupro: como prevenir esse crime?"	"estupro: uma mancha na alma feminina"	"em tempos “modernos” a mente humana ainda possui as suas contundencias machista e falso moralismo. apesar das informacoes chegarem mais rapido as pessoas atraves de meio de comunicacoes e redes sociais as mesmas na maioria retem apenas o basico e muitas vezes desnecessarios para suas vidas. mesmo sendo um assunto delicado de se abordar e educar infelizmente e algum muito comum de se acontecer independente da classe social. costuma-se culpar a vitima com pensamentos machista dando caracteristicas as roupas, insinuacoes, palavra de baixo calao dando a entender que a pessoa procurou isso quando na maior parte do tempo vem da mente doentia do agressor. a realidade e que ninguem tem o direito de ser tocado se nao quiser, e o seu jeito de ser nao e um convite a ser atacado por ninguem. uma maneira paliativa e trazer esse assunto nas escolas juntamente com o auxilio dos orgaos governamentais trazendo informacoes aos jovens que serao os adultos do amanha . quanto as punicoes advindas para ato nem sempre ocasiona em transformacao de carater ao agressor que por sua vez ao cumprir se torna tao pior quanto antes. mas a educacao transformas pessoas costuma se dizer que: pensamento gera acao, acao gera habito, habito gera carater e carater gera o seu destino. o estupro causa em suas vitimas uma mancha na alma que alvejante nenhum tira, trazendo aqueles que nao consegue superar a certeza da injustica humana. que a educacao possa ser o meio da prevencao desse ato desumano."	0.50	0.50	0.50	0.50	0.50
"disciplina, ordem e autoridade favorecem a educacao?"	"em busca de uma educacao de qualidade"	"a escola e uma instituicao que serve para instruir e transformar uma sociedade. o brasil e um dos paises que apresenta uma baixa qualidade de ensino. existem algumas escolas que se destacam pela disciplina, ordem e autoridade como os colegios militares. ensinar o individuo a lutar pelos seus objetivos e direitos, e o que falta para o sistema educacional ser eficiente. as escolas brasileiras sofrem constantemente com a indisciplina por parte dos alunos. um dos exemplos seriam as ocorrencias de violencia e vandalismo, entre outros fatos que prejudicam o processo normal de ensino-aprendizagem. alem disso, a questao politica salarial do professor reflete na educacao, uma vez que estes perdem a motivacao para realizar um bom trabalho. os colegios militares do brasil tem apresentado bons resultados, pois o sistema de educacao e mais rigido. visto que alcancou destaque no enem (exame nacional do ensino medio) do ano passado. nessas instituicoes o nivel de indisciplina, violencia e vandalismo sao menores. os professores exercem mais influencia e as regras sao mais rigidas. quando se esta em um ambiente sociavel que impere respeito, o aluno tende a se motivar e aprender mais. portanto, o brasil ainda possui uma estrutura moral e comportamental agravante no cenario educacional. o governo deveria investir mais na educacao, valorizando o professor para que este desempenhe melhor sua funcao. alem de buscar metodos mais eficientes de aprendizagem. como nos colegios militares, poderia focar na ordem, disciplina e respeito mutuo para formar cidadaos mais criticos e dispostos a cursar o ensino superior."	1.00	0.50	0.50	0.50	0.50
"escola no brasil: com partido ou sem partido?"	"o professor doutrina?"	"diante da emersao do projeto de lei “escola sem partido", necessita-se analisar os pressupostos dessa proposta conservadora, porque busca intimidar o professor ao coibi-lo de expor suas ideologias no ambiente de ensino. o educador e um ser social critico, proibi-lo de exercer sua funcao social e um atraso historico. a sociedade e marcada por divisoes de classes antagonicas que se relacionam por diferentes meios. nesse contexto, o profissional da educacao e vitima de um sistema social alienador que impoe medo e individualiza os seres humanos. o professor na escola discute e aborda suas ideias sejam elas criticas ou conservadoras, o aluno democraticamente escolhe qual segui-la . nessa perspectiva o professor nao doutrina, e sim esclarece duvidas. acusa-lo de doutrinacao e oprimi-lo de construir uma sociedade democratica que luta por direitos e reconhece seus deveres. a educacao tem a funcao social de construir individuos conscientes, justos, criticos que nao se intimidam pelas desigualdades. no entanto, o ato de educador nao esta livre de alienacao e alienadores. em tese, aprovar a “escola sem partido” que preve a punicao aos professores que facam “doutrinacao ideologica” na escola e um retrocesso. pois, em vez de proibir, devemos exigir a discussao, a analise e o exame dos pressupostos que norteiam o discurso de pais, professores e alunos."	1.00	1.50	1.00	1.00	1.00
"pos-verdade, opiniao publica e democracia"	"a pos-verdade: unica e absoluta"	"nesta ultima decada, cada vez mais pessoas acreditam no que querem acreditar. essas se tornam mais vulneraveis a manipulacao por nao se abrirem a novos questionamentos e a opinioes diferentes das suas. chamados de pos-verdade, esses fatos sao interpretacoes de percepcoes individuais. porem devido a desconfianca da veracidade das informacoes dos noticiarios, da midia e ate mesmo dos consensos formados nas escolas, essas analises sao tidas como verdadeiras. as pessoas que se utilizam de situacoes pos-verdade estao mais vulneraveis a acreditar nas informacoes que lhe sao apresentadas e assim serem manipuladas. uma vez que nao querem se expor ao contraditorio, a duvida ou mesmo admitirem que estavam erradas. logo, se as pessoas nao se permitirem a pensar, a criar novas opinioes, serao sempre influenciadas a acreditar na sua pos-verdade, unica e absoluta."	0.50	0.50	0.00	0.00	0.00
"impeachment: a presidente deve perder o mandato?"	"nao ao retrocesso, viva a democracia"	"atualmente, num pais tropical e constitucional, a questao que vem sendo discutida e a possibilidade de um impeachment da presidente da republica , dilma rousseff, do pt. nesse ambiente de discussao politica, e necessario certificar se ha justificativas plausiveis para que esse afastamento da presidente venha a acontecer. e e nesse contexto onde surge a pergunta: “impeachment: a presidente deve perder o mandato?". a constituicao vigente no brasil e a de 1988, esta, que existe crime de responsabilidade cometido pelo presidente da republica para que aja um impeachment. baseado nessa informacao e em fatos juridicos, nao ha crime ou investigacao comprovado contra dilma rousseff no seu segundo mandato. e notavel que existe uma oposicao conservadora, com estrategias politicas que visa apenas o seu beneficio com esse afastamento da atual presidente. seria um golpe ou um impeachment? um golpe. golpe este, disfarcado pela oposicao, de combate a corrupcao e a crise economica. e impossivel nao comparar essa atual situacao com o golpe de 1964, onde um discurso camuflado de melhorias para o pais, estendeu-se para uma ditadura militar que durou 21 anos, estes, de perseguicao, silencio popular e trevas. mediante esses argumentos e fatos historicos, fica claro que a sociedade tem um papel importante e nao deve permitir um tamanho retrocesso. e necessario investir em aulas de historia e palestras, abrindo assim, caminho para a nao alienacao da midia na sociedade. protestos pacificos e atitudes que valorizem a democracia, pois como diz o historiador leandro karnal, “a democracia ainda e o melhor sistema de um pais"."	1.00	1.00	0.50	0.50	0.50
"pos-verdade, opiniao publica e democracia"	"o que e a verdade? depende do meu ponto de vista"	"e notorio que as informacoes vem de diversos meios, porem nos dias atuais o terreno da internet e o mais popular, mas vem se tornando cada dia mais um campo de batalha de opinioes, que muitas vezes nao tem nenhum fundamento e estao baseadas em mentiras. muitos leem uma noticia e se gostam do que esta escrito tomam para si como verdade absoluta sem verificarem se e real ou apenas boato, o importante e que a informacao seja condizente com a opiniao que possuem. sabe-se que a informacao hoje em dia cada vez mais rapido, e os meios para expressar a opiniao cada vez mais abrangentes, e isso e bom, porem tem seus efeitos colaterais, como tudo que nao tem limite ou nao e usado com bom senso. com a modernidade das redes sociais, todo o conteudo da internet a disposicao e o fato de nao precisar se expor para opinar, deixa o terreno ainda mais propicio para muitos falarem o que querem sem se importarem com a verdade e com os fatos reais. estamos vivendo a era “o que e a verdade? depende do meu ponto de vista", nao importa os fatos, as comprovacoes, as provas, o que importa e a opiniao e as crencas que cada um possui e que muitos nao a trocam por nada. isso e uma democracia muito distorcida, tem que haver um meio termo, pois nao tem sentido descartar os fatos e mostrar apenas a versao que melhor lhe cabem. desse modo quem se expressa precisa respeitar os fatos e, muito mais que isso, precisam se aprofundarem buscando fontes concretas para conseguirem construir uma opiniao condizente e baseada na verdade. diante disso, em muitos casos e importante aceitar que a verdade dos fatos nao precisa ser alterada, apenas ser aceita."	1.00	1.00	1.00	1.00	1.00
"a tecnologia e a eliminacao de empregos"	"avanco tecnologico ou crise mundial"	"e de nosso conhecimento que a tecnologia vem avancando cada vez mais, e que a inteligencia artificial vem se tornando uma realidade, alem das maquinas que ja substituem o homem em diversas atividades variadas. com a programacao correta, qualquer robo pode exercer uma atividade, des de o plantio de vegetais a montagem de automoveis. para as grandes corporacoes isso seria uma enorme vantagem, pois teriam funcionarios nao remunerados, que exerceriam seu trabalho com perfeicao, alem de nao se cansarem ou ficarem doentes, no maximo um erro de programacao. temos a ideia de que varios empregos serao perdidos, devido a elas ja atuarem em alguns setores, mas para essa diferenca ficar massiva, ainda seriam necessarios mais alguns anos de pesquisas e analises cuidadosas devido qualquer erro de programacao ser um certo risco. visto isso, somos levados a crer que seriamos dispensaveis, porem outras profissoes seriam criadas e nem tudo seria perdido, devido o alto custo de compra e manutencao desses robos, nossas habilidades seriam valorizadas tais como o improviso, que nos permite lidar mais facilmente com algo que nao foi programado, mesmo com esse cenario, o ser humano consegue se destacar devido seu potencial de lidar com a vida ao seu redor, sendo assim varios empregos seriam re-estabelecidos e a humanidade nao ira sofrer com o desemprego."	1.00	0.50	0.50	0.50	0.50
"bandido bom e bandido morto?"	"a maldade esta no mundo"	"para a metade do pais acredita que bandido bom e bandido morto, em certo caso nao e o que podemos comprovar que seja certo ou errado, por que se julgamos um bandido por ser cruel, nao temos conceito nenhum de elogiar um trabalho de ma atitude de um policial, se referindo ao mundo de hoje e incerto aceitar o que vem pela frente, seja o bandido que for. mae alguma nao tem a culpa de ter um filho assim, e raramente sao poucas que aceita que o fale desse jeito, certamente nao devemos de jeito algum jurar a morte do proximo, um dos erros que vimos muito e a maldade que a policia vem trazendo e isso ninguem pensa no quanto nao devemos confiar em policia por nos ajudar diante de uns bandidos por ai, os proprios bandidos sao os policias e isso a populacao alguma se comove com a verdade."	0.00	0.00	0.00	0.00	0.00
"perigos do universo digital"	"o mundo digital"	"o mundo digital todos ficam informados sobre tudo que acontece no mundo em segundos. muitas criancas e adolescentes ficam horas conectados na internet isso e um perigo pois ficam expostos a tudo que a internet disponibiliza. na internet tem todos os tipos de conteudos, com isso e muito dificil de controlar o que as pessoas veem, principalmente criancas e adolescentes. estas muitas ve conteudos improprios para sua idade como por exemplo pornografica tambem muitas sofrem bullyng por postar algo. com isso ficam muito exposta os, pais devem ficar sempre atentos em saber o que conteudo os filhos estao vendo na internet, se sao apropriados para a sua idade e se nas redes sociais estao sofrendo bullyng, muitas vezes criancas e adolescentes sofrem bullyng por ser fa de uma banda, cantor, por esta acima do peso, elas acabam nao querendo ir a escola por isso os pais tem que ficar atentos. por tanto algumas medidas tem que ser tomadas, como por exemplo os pais tem que selecionar os conteudos, bloquear sites que sao improprios para sua idade. ficar por perto enquanto os filhos acesa internet . essas medidas podem ajudar criancas e adolescentes a usar a internet sem perigo."	0.50	1.00	0.50	0.50	1.00
"a tecnologia e a eliminacao de empregos"	"uma nova revolucao, um novo avanco!"	"a tecnologia esta se tornando cada vez mais presente em nosso cotidiano. o que vem gerando grande preocupacao, pois essas maquinas iram competir com profissionais no mercado de trabalho, e iram deixar muitos desempregados. a tecnologia esta, nos dias atuais, sempre ativa no nosso cotidiano. nao podemos esquecer que ela ajudou no avanco do mercado de trabalho e, com seu avanco uma parte da humanidade deixou de exercer tarefas arduas. mas, esse rapido avanco da tecnologia vem gerando preocupacao, pois a tendencia e que ela elimine empregos, e o fara rapidamente. isso ira levar a uma alta competitividade no mercado de trabalho, e ira acarretar no aumento de desempregados, e consequentemente ao aumento da desigualdade social. contudo, no mercado de trabalho havera novas oportunidades, mas so poderao exerce-los aqueles que forem qualificados e tiverem o perfil demandado pelo mercado. isso levara ao desemprego de trabalhadores sem qualificacao, o que nos leva a crer que o ensino devera ter mudancas, para que nao cresca de uma forma gigantesca o numero de desempregados. isso futuramente trara grandes oportunidades, pois motivara as pessoas a se tornarem cada vez mais qualificadas para ingressarem no mercado de trabalho. portanto, a tecnologia ira aumentar o desemprego, pois eliminara trabalhadores sem qualificacao. porem, ira motivar a melhora do ensino e tambem ao crescimento de profissionais com o perfil demandado pelo mercado. isso trara um novo avanco, tanto do mercado de trabalho quanto dos profissionais."	1.00	1.00	0.50	0.50	1.00
"perigos do universo digital"	"internet: um abismo virtual"	"a terceira revolucao industrial, proporcionou o desenvolvimento e aprimoramento das tecnologias de informacao, criando inumeras ferramentas que alciliam no dia-a-dia , como a internet. no entanto essa mobilidade facilita a exposicao de conteudos inapropriados para criancas e adolescentes, alem de ser um otimo caminho para o chamado cyberbully . apesar dos varios pontos positivos que esse mundo virtual nos possibilita , a intensa exposicao e inseguranca levam os menores de idade a terem acesso a conteudos via adulto ou pornograficos , consequentemente acabam criando uma ideologia distorcida do sexo, tornam-se violentos e podem ate ocasionarem abusos sexuais. acrescido a isso e atraves de redes sociais como, facebook, twitter, instagram etc , um possivel agressor estabiliza e inicia sua “diversao", fazendo criticas, ofensas e publicacoes de fotos ou videos que invadem a privacidade de outrem pertubando a vida da vitima e levando-a a ter problemas piscologicos e pensamentos suicidas . a internet e um verdadeiro abismo virtual, por isso, cabe principalmente aos pais fiscalizarem e por meio de aplicativos, capazes de privatizar paginas com conteudos improprios, colocarem limites em seus filhos, impedindo que esse mal se prolifere ."	0.50	1.00	0.50	0.50	0.50
"terceirizacao: avanco ou retrocesso?"	"as possiveis mudancas no processo de terceirizacao"	"as possiveis mudancas no processo de terceirizacao vem gerando diversas divergencias entre os trabalhadores brasileiros. se, por um lado e considerada um avanco inevitavel, por outro o pais esta receoso com tal mudanca a possibilidade das empresas terceirizarem trabalhadores para a sua atividade fim, vem assustando muitos trabalhadores brasileiros. em meio a tantas manifestacoes e greves sobre a medida, sao discutidos os beneficios que as empresas ganhariam ao terceirizar ao inves de contratar um empregador . as mesmas nao so ficariam livres de alguns encargos trabalhistas, que por consequencia trariam possiveis prejuizos ao trabalhador assalariado – como a diminuicao do salario, e os direitos assegurados pela clt, como tambem aumentariam seu lucro. visto que vivemos em um mundo capitalista, acredita-se que tal processo seria inevitavel no brasil. apesar do mesmo nao se encontrar preparado para uma mudanca de tal magnitude que, com certeza, produziria grandes efeitos na economia brasileira que ja nao se encontra no seu melhor momento. caberia, portando , ao governo assegurar os direitos ja adquiridos do trabalhador, para que o mesmo nao saia perdendo em meio a todo esse avanco. e, as empresas, o minimo de decencia e etica para tornar desse um processo benefico nao so para os empregadores, mas tambem para toda a sociedade brasileira."	1.50	1.00	1.00	1.00	1.00
"voce faz parte da turma do “eu me acho?”"	"mimados no passado e infelizes no futuro"	"em qualquer lugar e possivel encontrar pessoas que fazem parte da turma do “eu me acho". nao raro, elas fazem parte da nossa familia e do nosso cotidiano. basta um olhar minucioso para conseguir identificar algum individuo que faca parte desse grupo. eles se reunem em lugares comuns como pracas e parques, e so dao atencao a si mesmo – algo que eu jamais faria. se consideram autossuficientes, e por esse motivo criam o chamado isolamento social. isso acontece por diversos motivos, os principais sao: riqueza (se consideram superior por possuirem bens aquisitivos ), tratamento especial exagerado por parte da familia (faz com que o individuo pense que deve ser tratado da mesma forma em qualquer lugar), e ate por serem considerados pessoas de boa aparencia fisica (com isso o ego delas faz com que se sintam ainda mais especiais). ao analisar essas caracteristicas fica claro que nao me encaixo nesses padroes. o resultado disso aparece nitidamente na fase adulta. quando precisam se distanciar da familia, conseguir um emprego e serem responsaveis por si mesmo . como esse grupo foi “amaciado” a vida toda, terao dificuldades de aceitar criticas, precisarao de muito tempo para se adaptar na sociedade, vao vai se frustrar com o mundo por isso, e poderao ate desenvolver uma depressao por conta de tantos problemas e por seu psicologico nao estar preparado pra esse tipo de resposta do mundo. portando , e evidente pra mim que nao faco parte desse grupo, pois acredito que nao faz sentido se isolar das pessoas que eles consideram “diferentes", porque e com os “diferentes” que conseguimos aprender coisas novas, aprimorar nossos conhecimentos e, assim, nos tornar pessoas melhores"	1.50	1.50	1.00	1.00	1.00
"politica x ciencia: a “pilula do cancer”"	"melhor prevenir do que remediar"	"uma discussao tem sido gerada em torno da autorizacao da substancia fosfotanolamina sintetica, conhecida popularmente como ‘’pilula do cancer.’’ mas a questao da liberacao da pilula seria de carater politico ou cientifico? primeiramente, e necessario lembrar que a agencia nacional de vigilancia sanitaria (anvisa) ve com preocupacao a substancia, visto que nao foi testada em pessoas, seus efeitos sao considerados variaveis, podendo apresentar melhora momentanea, como tambem danos irreversiveis ao sistema nervoso central. segundamente a aprovacao no congresso nacional sofreu grande pressao popular, ja que todo paciente diagnosticado com neoplasia maligna, por natureza humana, seria capaz de ingerir qualquer remedio que pudesse apresentar melhora, por menor que fosse. ignorando assim, todos os efeitos colaterais que a droga pode oferecer. portanto, e de extrema importancia que a associacao da industria farmaceutica de pesquisa seja a responsavel por julgar a droga eficaz ou nao, fazendo assim, a realizacao dos testes pre-clinicos, logo em seguida realiza-los em organismos vivos e seguir a sequencia de requisitos exigidos para assegurar a eficacia do medicamento. dessa forma, evitaria a legalizacao de uma irresponsabilidade e pouparia a populacao de consequencias incertas."	1.00	1.00	1.00	1.00	1.00
"filantropia: um exemplo a ser seguido?"	"cultura da filantropia e reais beneficiados"	"no mundo contemporaneo, grandes empresarios e figuras midiaticas divulgam e/ou ajudam causas filantropicas, tendo seus “gestos de caridade” aclamados pelos meios de propagacao da informacao, como recentemente foi o caso do multimilionario bill gates. apesar de apreciados por muitos, os atos filantropicos sao, na realidade, frutos de uma profunda desigualdade social. cidadaos que, por pagarem impostos deveriam ter seus direitos basicos como saude de qualidade garantidos pelo estado, nao o tem. isso resulta em uma dependencia dos individuos por obras e programas sociais da iniciativa privada, quando isso deveria ser papel do estado. o estado beneficia os empresarios, que so enriquecem mais sendo promovidos por seus atos de caridade. enquanto isso, os beneficiados pela filantropia permanecem dependentes, cada vez mais, de doacoes de empresarios, e com poucas perspectivas de ascensao social por conta de sua condicao, ja que nao existem muitas oportunidades que os contemplem. para resolver esse problema, e necessaria a seguinte medida: que atraves de programas sociais, o estado passe a fornecer saude de qualidade e tratamentos especiais, no caso de deficientes fisicos, e expandam programas de moradia ja existentes, como o minha casa, minha vida."	2.00	2.00	1.50	1.50	2.00
